Year,State,Accidents,Fatalities,Cause,Month
2019,Odisha,1394,258,Drunk Driving,Oct
2016,West Bengal,4710,1359,Overtaking,Nov
2023,Odisha,722,148,Speeding,Mar
2016,Maharashtra,606,148,Vehicle Defect,Jan
2016,Delhi,810,141,Weather,Jul
2016,Bihar,4513,1106,Speeding,Aug
2023,Tamil Nadu,4794,1077,Speeding,Jan
2019,Punjab,3743,823,Overtaking,Jan
2015,Uttar Pradesh,771,220,Drunk Driving,Oct
2018,Maharashtra,3003,863,Drunk Driving,Sep
2016,Tamil Nadu,1696,356,Vehicle Defect,Dec
2018,Tamil Nadu,4951,833,Vehicle Defect,Apr
2023,Gujarat,293,78,Speeding,Jun
2017,Delhi,197,58,Overtaking,Jan
2017,Tamil Nadu,3393,919,Drunk Driving,Jun
2016,Rajasthan,4581,519,Overtaking,Sep
2023,Assam,1245,232,Overtaking,Jan
2016,Haryana,1381,413,Speeding,Feb
2023,Kerala,3630,665,Speeding,Nov
2020,Odisha,4122,709,Vehicle Defect,Sep
2017,Gujarat,4543,1096,Overtaking,Jul
2016,Odisha,259,36,Speeding,Jul
2023,Kerala,339,58,Overtaking,Apr
2017,Maharashtra,4146,1141,Overtaking,May
2018,Delhi,1590,160,Vehicle Defect,Dec
2022,Kerala,4852,610,Drunk Driving,Sep
2018,Bihar,1333,262,Speeding,Oct
2021,Karnataka,4915,566,Weather,Jan
2019,Maharashtra,4067,1021,Weather,Aug
2018,Assam,2350,616,Speeding,Jul
2020,Punjab,2233,580,Speeding,Jan
2015,Assam,504,94,Speeding,Jun
2023,Kerala,3262,800,Speeding,Nov
2021,West Bengal,2677,472,Vehicle Defect,Mar
2022,West Bengal,4308,585,Vehicle Defect,Nov
2018,Rajasthan,4541,724,Vehicle Defect,Jan
2017,Maharashtra,4833,899,Vehicle Defect,Feb
2020,Bihar,896,226,Vehicle Defect,Aug
2020,West Bengal,2217,519,Speeding,May
2018,Maharashtra,1258,294,Weather,Jun
2019,Bihar,4642,627,Weather,May
2021,Uttar Pradesh,3712,1046,Overtaking,Nov
2017,West Bengal,110,27,Speeding,Sep
2018,Maharashtra,2877,355,Speeding,Apr
2021,Haryana,3987,631,Drunk Driving,Jan
2023,Odisha,3271,579,Vehicle Defect,Dec
2018,Madhya Pradesh,1196,287,Speeding,May
2022,Assam,1880,549,Speeding,Jul
2023,Gujarat,1794,256,Vehicle Defect,Dec
2019,Assam,2364,608,Drunk Driving,Nov
2021,Kerala,4276,1267,Vehicle Defect,Jan
2016,Tamil Nadu,4464,1323,Overtaking,May
2021,Haryana,2629,581,Overtaking,Dec
2019,Gujarat,1446,224,Weather,Dec
2019,Kerala,2739,343,Vehicle Defect,Jan
2019,Delhi,3813,430,Weather,Mar
2020,Kerala,4035,936,Vehicle Defect,Sep
2017,Madhya Pradesh,2635,441,Overtaking,Jan
2018,Kerala,2424,370,Drunk Driving,Dec
2017,Gujarat,4556,854,Overtaking,Dec
2015,Gujarat,3138,894,Drunk Driving,Sep
2023,Gujarat,2572,303,Speeding,Aug
2021,Odisha,2067,472,Overtaking,Mar
2019,Bihar,2371,397,Speeding,Dec
2021,Karnataka,4917,629,Overtaking,Mar
2020,Rajasthan,2842,401,Overtaking,Sep
2019,Rajasthan,2239,323,Drunk Driving,Mar
2021,Odisha,4757,1185,Drunk Driving,Jan
2022,Madhya Pradesh,2969,840,Overtaking,May
2022,Gujarat,4632,1197,Vehicle Defect,Apr
2017,Punjab,4921,1394,Speeding,Sep
2022,Rajasthan,1367,242,Weather,Nov
2015,Bihar,1246,215,Weather,Apr
2016,Kerala,2160,426,Speeding,Feb
2022,Tamil Nadu,1805,264,Overtaking,Mar
2016,Madhya Pradesh,433,80,Overtaking,Oct
2017,Tamil Nadu,396,115,Vehicle Defect,Aug
2022,Kerala,2866,804,Vehicle Defect,Nov
2015,West Bengal,4816,1009,Overtaking,Oct
2021,Maharashtra,3996,1138,Vehicle Defect,Apr
2022,Bihar,1206,197,Overtaking,Jan
2022,Madhya Pradesh,3114,802,Drunk Driving,Dec
2020,Haryana,1856,528,Drunk Driving,Jun
2015,Assam,2169,435,Weather,Mar
2021,Tamil Nadu,2810,603,Weather,Jan
2016,Madhya Pradesh,2825,323,Weather,Jun
2017,Delhi,2597,347,Drunk Driving,Apr
2020,Odisha,2259,527,Drunk Driving,Nov
2021,Odisha,1180,343,Speeding,Jun
2020,Haryana,1273,166,Drunk Driving,Feb
2019,Maharashtra,3917,484,Vehicle Defect,Jan
2020,Gujarat,266,74,Vehicle Defect,Oct
2022,Odisha,3614,396,Weather,Sep
2020,Odisha,3574,444,Speeding,Jan
2023,Rajasthan,2080,468,Weather,Jan
2019,Madhya Pradesh,1472,441,Vehicle Defect,Oct
2019,Punjab,2112,547,Weather,Oct
2017,Haryana,1764,341,Speeding,Nov
2020,West Bengal,2297,301,Overtaking,Nov
2022,Uttar Pradesh,4105,1004,Drunk Driving,Jan
2016,Bihar,3929,567,Vehicle Defect,Aug
2023,Gujarat,2276,268,Weather,Oct
2019,Kerala,4077,1036,Vehicle Defect,Mar
2023,Odisha,4225,481,Weather,Mar
2020,Rajasthan,1130,318,Weather,May
2019,Delhi,2479,498,Weather,Apr
2019,Assam,3156,735,Drunk Driving,May
2017,Odisha,260,29,Speeding,Oct
2018,West Bengal,3720,692,Drunk Driving,Feb
2022,Uttar Pradesh,4519,1354,Vehicle Defect,Apr
2017,West Bengal,4290,522,Vehicle Defect,Dec
2023,Gujarat,4654,679,Overtaking,Dec
2022,West Bengal,3800,823,Drunk Driving,Jul
2020,Madhya Pradesh,3311,481,Weather,Aug
2020,Haryana,3522,545,Drunk Driving,Feb
2022,Tamil Nadu,4246,651,Weather,Jan
2021,Odisha,2705,741,Overtaking,Dec
2023,Madhya Pradesh,2036,553,Overtaking,Aug
2015,Delhi,4358,739,Vehicle Defect,Dec
2018,Assam,360,75,Weather,Oct
2017,Odisha,1216,174,Vehicle Defect,Apr
2016,West Bengal,2190,649,Speeding,Jun
2022,Kerala,3704,785,Speeding,Oct
2017,Assam,2358,382,Drunk Driving,Oct
2022,Haryana,3243,730,Weather,Dec
2017,Bihar,1110,174,Weather,Feb
2022,West Bengal,4461,823,Speeding,Nov
2023,Assam,4938,1299,Vehicle Defect,Oct
2018,Assam,2246,442,Vehicle Defect,Sep
2018,Karnataka,1409,249,Overtaking,May
2021,Madhya Pradesh,1454,417,Speeding,Feb
2020,Uttar Pradesh,1771,306,Vehicle Defect,Jan
2015,Punjab,410,60,Speeding,May
2019,Assam,1711,188,Vehicle Defect,May
2022,Uttar Pradesh,3362,793,Weather,Sep
2016,Uttar Pradesh,1967,421,Vehicle Defect,Dec
2018,Uttar Pradesh,4984,808,Drunk Driving,Sep
2019,Kerala,555,113,Overtaking,May
2020,Maharashtra,4464,875,Vehicle Defect,Apr
2020,Haryana,1785,436,Drunk Driving,Oct
2019,Kerala,2352,672,Speeding,Apr
2020,Tamil Nadu,1693,500,Vehicle Defect,May
2020,Assam,4827,1386,Speeding,Oct
2015,Haryana,390,79,Speeding,Jan
2017,Maharashtra,3975,1123,Speeding,Apr
2019,West Bengal,288,50,Drunk Driving,Feb
2021,West Bengal,214,43,Speeding,Nov
2019,Karnataka,1217,201,Overtaking,Nov
2017,Rajasthan,1813,273,Speeding,Apr
2015,Madhya Pradesh,4980,943,Drunk Driving,Feb
2016,Punjab,4017,927,Overtaking,Feb
2016,Karnataka,588,109,Speeding,Nov
2020,Gujarat,3987,439,Vehicle Defect,Dec
2023,Gujarat,2977,744,Speeding,Jun
2022,Gujarat,1783,445,Vehicle Defect,Aug
2021,Maharashtra,1423,178,Vehicle Defect,Feb
2017,Odisha,1350,202,Vehicle Defect,Sep
2020,Odisha,320,39,Speeding,Jan
2016,Tamil Nadu,3978,1107,Overtaking,Nov
2018,West Bengal,2118,474,Drunk Driving,Aug
2023,Kerala,4549,733,Speeding,Aug
2019,Madhya Pradesh,4767,1022,Speeding,Aug
2017,Haryana,2274,250,Vehicle Defect,Apr
2018,Haryana,2964,700,Overtaking,Oct
2021,Rajasthan,4403,754,Weather,Jun
2020,Uttar Pradesh,1516,189,Drunk Driving,Nov
2023,Tamil Nadu,4224,997,Vehicle Defect,Sep
2016,Uttar Pradesh,4638,559,Speeding,Nov
2020,Uttar Pradesh,417,69,Vehicle Defect,Dec
2022,Gujarat,2611,543,Weather,Jun
2017,West Bengal,2264,599,Weather,Jun
2016,Assam,2809,291,Vehicle Defect,May
2020,Haryana,453,134,Overtaking,Jun
2015,Maharashtra,358,101,Overtaking,Apr
2021,Gujarat,2903,728,Overtaking,Jul
2023,West Bengal,4731,1342,Vehicle Defect,Mar
2015,Tamil Nadu,2479,375,Overtaking,Jul
2017,Rajasthan,3163,739,Speeding,Aug
2022,Maharashtra,2698,645,Weather,Feb
2023,Tamil Nadu,4718,1351,Weather,Feb
2019,Odisha,4396,768,Vehicle Defect,Apr
2017,Tamil Nadu,1060,263,Overtaking,Jul
2021,Rajasthan,2796,514,Vehicle Defect,Jan
2017,Uttar Pradesh,1133,273,Weather,Mar
2022,Bihar,4873,1363,Weather,Nov
2023,Delhi,2827,297,Drunk Driving,Oct
2022,Uttar Pradesh,1593,197,Speeding,Aug
2016,West Bengal,2737,562,Vehicle Defect,Apr
2015,Tamil Nadu,3311,849,Weather,Apr
2023,Madhya Pradesh,4506,612,Weather,Nov
2023,Assam,334,54,Speeding,May
2017,Bihar,473,63,Weather,Feb
2016,Maharashtra,1185,325,Speeding,Jan
2020,Odisha,4058,491,Vehicle Defect,Aug
2022,Gujarat,4404,478,Speeding,Apr
2020,Madhya Pradesh,3000,854,Overtaking,Aug
2019,Madhya Pradesh,3145,867,Weather,Aug
2017,Bihar,3946,1166,Vehicle Defect,Feb
2022,West Bengal,3008,858,Vehicle Defect,Oct
2022,Karnataka,3888,1052,Speeding,Mar
2023,Karnataka,935,243,Speeding,May
2022,Assam,1451,174,Vehicle Defect,May
2018,Delhi,3208,448,Drunk Driving,Nov
2022,Bihar,1384,330,Vehicle Defect,Dec
2017,West Bengal,862,168,Drunk Driving,Jul
2015,Assam,3765,542,Weather,Jun
2017,Delhi,3084,504,Drunk Driving,Feb
2023,West Bengal,876,97,Drunk Driving,Aug
2019,Uttar Pradesh,1921,355,Speeding,Feb
2020,Haryana,1153,193,Overtaking,Jul
2017,Delhi,3892,610,Weather,Apr
2016,Assam,318,81,Overtaking,May
2020,Kerala,2967,698,Speeding,Jul
2017,Kerala,1408,293,Overtaking,Jan
2019,Tamil Nadu,4867,1335,Speeding,Feb
2015,Gujarat,4475,735,Drunk Driving,Nov
2020,Uttar Pradesh,4889,651,Weather,Dec
2019,Assam,596,93,Weather,Jan
2023,Gujarat,2948,675,Vehicle Defect,May
2022,Kerala,3179,910,Vehicle Defect,Jan
2015,Assam,607,78,Vehicle Defect,May
2020,Bihar,1683,308,Weather,Nov
2022,Haryana,1563,409,Vehicle Defect,Sep
2021,Delhi,793,185,Vehicle Defect,Feb
2016,Haryana,3476,589,Speeding,Aug
2015,Uttar Pradesh,1431,222,Weather,Mar
2021,Uttar Pradesh,3830,609,Drunk Driving,Oct
2022,Tamil Nadu,2636,592,Overtaking,Aug
2015,Tamil Nadu,3790,957,Drunk Driving,Jul
2019,Tamil Nadu,3900,402,Weather,Jan
2020,Odisha,1998,440,Overtaking,May
2015,Maharashtra,2127,473,Drunk Driving,Feb
2015,Tamil Nadu,371,95,Overtaking,Nov
2018,Maharashtra,1932,483,Speeding,May
2018,Kerala,1999,493,Weather,Nov
2015,Haryana,565,107,Drunk Driving,Nov
2023,Tamil Nadu,3147,627,Speeding,Aug
2018,Uttar Pradesh,3986,764,Vehicle Defect,Feb
2016,Delhi,2954,671,Vehicle Defect,Mar
2022,Gujarat,1891,241,Weather,Oct
2021,Bihar,388,114,Vehicle Defect,Jul
2020,Gujarat,4282,841,Drunk Driving,Jan
2022,Karnataka,1084,199,Overtaking,May
2022,Bihar,2130,301,Speeding,May
2021,Tamil Nadu,984,171,Overtaking,Oct
2019,Punjab,4816,965,Drunk Driving,Apr
2015,Madhya Pradesh,2650,554,Weather,Apr
2018,West Bengal,536,86,Overtaking,Apr
2016,West Bengal,3333,392,Weather,Aug
2019,Rajasthan,766,132,Vehicle Defect,Aug
2016,Delhi,1331,236,Weather,Jul
2017,Odisha,2431,502,Overtaking,Aug
2021,Kerala,2944,489,Vehicle Defect,Nov
2023,Gujarat,4503,1001,Vehicle Defect,Oct
2023,Punjab,2234,526,Weather,Mar
2022,Tamil Nadu,4435,923,Overtaking,Nov
2022,Maharashtra,2074,340,Weather,Jul
2015,Punjab,3354,694,Drunk Driving,Mar
2017,Haryana,2171,356,Weather,Feb
2019,Assam,1708,353,Weather,Aug
2017,Tamil Nadu,3101,530,Overtaking,Feb
2023,Haryana,524,117,Weather,Jan
2023,West Bengal,2371,665,Overtaking,Mar
2015,Haryana,4622,1060,Drunk Driving,Apr
2021,Uttar Pradesh,4115,640,Vehicle Defect,Apr
2016,Uttar Pradesh,3037,634,Drunk Driving,Aug
2022,Rajasthan,1613,450,Weather,Feb
2017,Tamil Nadu,4976,819,Overtaking,Apr
2016,Delhi,3046,651,Overtaking,Dec
2016,Haryana,894,142,Drunk Driving,May
2019,West Bengal,4221,963,Speeding,May
2019,Madhya Pradesh,4674,842,Overtaking,Dec
2022,Karnataka,1861,492,Vehicle Defect,Apr
2021,Haryana,1925,505,Vehicle Defect,Aug
2021,Tamil Nadu,1357,161,Overtaking,Oct
2022,Karnataka,190,24,Vehicle Defect,Jul
2023,Madhya Pradesh,1933,391,Overtaking,Feb
2022,Tamil Nadu,566,116,Weather,Nov
2021,Assam,4363,777,Drunk Driving,Dec
2019,Odisha,1970,386,Drunk Driving,Aug
2023,Tamil Nadu,3889,746,Drunk Driving,May
2019,Delhi,3265,810,Overtaking,May
2023,Bihar,2741,360,Drunk Driving,Sep
2019,West Bengal,2784,335,Drunk Driving,Aug
2023,Uttar Pradesh,2884,461,Speeding,Jun
2022,Tamil Nadu,3225,479,Overtaking,Dec
2021,Tamil Nadu,1524,228,Weather,Jul
2020,Maharashtra,2149,506,Speeding,Mar
2015,Kerala,2167,247,Drunk Driving,Jul
2022,Madhya Pradesh,3373,904,Overtaking,Sep
2017,Uttar Pradesh,4935,625,Overtaking,Aug
2021,West Bengal,1228,199,Drunk Driving,Mar
2018,Karnataka,563,133,Weather,Apr
2015,Assam,1228,345,Overtaking,Sep
2019,Gujarat,4954,1199,Speeding,Nov
2015,Punjab,119,27,Drunk Driving,Feb
2021,Kerala,4192,591,Overtaking,Sep
2019,Assam,435,120,Overtaking,Dec
2015,Tamil Nadu,1300,304,Speeding,Nov
2019,Gujarat,3893,1003,Vehicle Defect,Jan
2017,Punjab,837,210,Speeding,Aug
2016,West Bengal,826,173,Overtaking,Dec
2018,Delhi,914,274,Vehicle Defect,Mar
2017,Bihar,2920,748,Overtaking,Oct
2022,West Bengal,4683,528,Weather,Aug
2019,Bihar,1809,483,Overtaking,Jul
2023,Kerala,1119,187,Overtaking,May
2021,Haryana,4327,1256,Vehicle Defect,Mar
2020,Gujarat,3492,1021,Weather,Sep
2017,Karnataka,2696,402,Drunk Driving,Dec
2023,Kerala,758,159,Weather,Oct
2018,Uttar Pradesh,2598,739,Vehicle Defect,Feb
2018,Uttar Pradesh,215,26,Drunk Driving,Jul
2023,West Bengal,120,18,Vehicle Defect,Oct
2019,Delhi,644,177,Overtaking,Feb
2020,Karnataka,4332,679,Drunk Driving,Apr
2023,Assam,3721,539,Vehicle Defect,Mar
2020,Tamil Nadu,380,110,Drunk Driving,Oct
2020,Madhya Pradesh,3268,335,Speeding,Jan
2023,Kerala,2406,269,Speeding,Mar
2020,Kerala,2776,544,Drunk Driving,Sep
2021,Gujarat,726,177,Vehicle Defect,Dec
2016,Karnataka,3341,484,Overtaking,May
2023,Punjab,794,111,Vehicle Defect,May
2015,Uttar Pradesh,4030,790,Drunk Driving,Dec
2019,Gujarat,1036,172,Vehicle Defect,Sep
2022,Tamil Nadu,4618,736,Speeding,Oct
2021,Maharashtra,2411,340,Vehicle Defect,Oct
2018,Maharashtra,1517,282,Drunk Driving,May
2023,Rajasthan,3434,956,Overtaking,Dec
2022,Haryana,720,73,Speeding,Feb
2018,Haryana,561,151,Drunk Driving,Oct
2019,Rajasthan,2894,303,Vehicle Defect,Feb
2021,Maharashtra,416,78,Weather,Jan
2016,Haryana,2077,463,Overtaking,Feb
2022,Bihar,612,94,Vehicle Defect,Aug
2020,Madhya Pradesh,309,38,Overtaking,Oct
2016,Bihar,4569,686,Overtaking,Feb
2022,Rajasthan,1831,291,Overtaking,Feb
2016,Delhi,3712,915,Weather,Mar
2017,Uttar Pradesh,3047,512,Overtaking,Nov
2017,Gujarat,1008,118,Overtaking,Jun
2015,Uttar Pradesh,2678,741,Overtaking,May
2023,Bihar,4355,719,Vehicle Defect,Jul
2022,Haryana,4598,1255,Drunk Driving,Jul
2019,West Bengal,2637,610,Drunk Driving,Apr
2015,Delhi,4042,897,Overtaking,Mar
2016,Uttar Pradesh,708,93,Drunk Driving,Nov
2021,Tamil Nadu,4382,709,Drunk Driving,Nov
2017,Kerala,2007,277,Speeding,Oct
2018,Tamil Nadu,1830,395,Overtaking,Nov
2017,Bihar,1930,455,Speeding,Oct
2015,Gujarat,144,22,Drunk Driving,Apr
2022,Odisha,2420,583,Vehicle Defect,Apr
2017,Karnataka,2507,313,Drunk Driving,Dec
2022,Maharashtra,3526,797,Overtaking,Jun
2016,Gujarat,1124,305,Drunk Driving,Nov
2023,Delhi,4633,1363,Vehicle Defect,Jun
2020,Gujarat,2293,433,Overtaking,Oct
2018,Gujarat,4017,1001,Speeding,Jan
2021,Rajasthan,3407,909,Overtaking,Nov
2023,Odisha,641,99,Vehicle Defect,Nov
2015,Bihar,284,66,Overtaking,Feb
2016,Haryana,3694,958,Speeding,Feb
2015,Punjab,744,142,Speeding,Jun
2016,Odisha,4462,1249,Weather,Sep
2018,Tamil Nadu,3592,472,Overtaking,Nov
2022,Uttar Pradesh,2489,444,Drunk Driving,Aug
2023,Madhya Pradesh,734,121,Drunk Driving,Nov
2023,Bihar,1012,137,Drunk Driving,Jul
2022,Assam,900,166,Vehicle Defect,Aug
2017,Odisha,1035,177,Overtaking,Sep
2015,Rajasthan,4898,931,Overtaking,Jun
2018,Odisha,3919,621,Overtaking,Mar
2019,Tamil Nadu,1496,400,Speeding,Nov
2019,Kerala,265,42,Vehicle Defect,Jun
2022,Gujarat,3143,324,Overtaking,Jan
2020,Tamil Nadu,4831,1330,Speeding,May
2021,Tamil Nadu,4553,538,Weather,Jul
2023,Kerala,2114,282,Vehicle Defect,Mar
2016,Uttar Pradesh,3156,337,Speeding,Jun
2016,Gujarat,4237,1104,Vehicle Defect,Oct
2023,Uttar Pradesh,1100,253,Speeding,Dec
2023,Rajasthan,2619,419,Vehicle Defect,Oct
2018,West Bengal,2488,608,Drunk Driving,Jun
2020,Gujarat,1566,212,Drunk Driving,Oct
2019,Maharashtra,4398,954,Weather,Nov
2018,Tamil Nadu,3372,784,Overtaking,Apr
2023,West Bengal,4778,601,Vehicle Defect,Nov
2015,Kerala,2757,478,Speeding,Mar
2018,Delhi,1365,288,Weather,Jan
2015,West Bengal,4888,560,Drunk Driving,Jul
2023,Punjab,3786,1035,Weather,Apr
2018,Bihar,4082,991,Vehicle Defect,Jun
2019,Rajasthan,3314,792,Overtaking,Dec
2019,Gujarat,2894,318,Overtaking,Dec
2021,Uttar Pradesh,3482,855,Weather,May
2023,Odisha,2321,248,Overtaking,Aug
2019,Uttar Pradesh,1260,148,Drunk Driving,Jul
2019,Uttar Pradesh,2366,291,Drunk Driving,Aug
2015,West Bengal,4685,631,Overtaking,Jul
2023,Odisha,3107,874,Speeding,Aug
2015,Delhi,179,42,Weather,Jun
2018,Gujarat,4184,592,Speeding,Oct
2018,Bihar,1697,283,Drunk Driving,Oct
2015,Maharashtra,2319,478,Vehicle Defect,Apr
2015,West Bengal,4335,558,Vehicle Defect,Feb
2020,Karnataka,2462,385,Vehicle Defect,Jun
2015,Bihar,4747,807,Weather,Nov
2022,Haryana,2376,668,Drunk Driving,Oct
2022,Haryana,4713,817,Drunk Driving,Mar
2021,Tamil Nadu,4261,684,Drunk Driving,Jul
2019,Assam,2492,699,Weather,Aug
2016,Rajasthan,1917,334,Vehicle Defect,Nov
2020,West Bengal,2079,213,Vehicle Defect,Jan
2015,Bihar,249,49,Overtaking,Apr
2021,Delhi,845,117,Vehicle Defect,Jan
2021,Delhi,3715,469,Speeding,Sep
2020,Madhya Pradesh,3145,741,Drunk Driving,Dec
2016,Punjab,252,74,Weather,Jun
2017,Odisha,2250,478,Drunk Driving,Feb
2019,Kerala,4591,945,Drunk Driving,Jun
2021,Madhya Pradesh,2639,761,Overtaking,May
2016,Maharashtra,3871,1019,Speeding,Jul
2022,Maharashtra,3525,833,Weather,Mar
2016,Haryana,3475,792,Drunk Driving,Apr
2015,West Bengal,3397,983,Speeding,Mar
2020,Madhya Pradesh,3312,673,Vehicle Defect,Jan
2020,Kerala,422,57,Vehicle Defect,Apr
2020,Tamil Nadu,406,63,Overtaking,Apr
2022,Rajasthan,706,107,Speeding,Apr
2022,Karnataka,4596,689,Weather,Jun
2019,West Bengal,3564,577,Weather,May
2019,Rajasthan,1928,574,Vehicle Defect,Oct
2018,Tamil Nadu,2866,350,Vehicle Defect,Apr
2023,Rajasthan,1863,391,Overtaking,Dec
2022,Haryana,1360,399,Vehicle Defect,Sep
2021,Punjab,1196,252,Speeding,Oct
2017,Delhi,1257,271,Speeding,Feb
2021,Kerala,432,114,Overtaking,Nov
2018,Uttar Pradesh,4202,1019,Speeding,Mar
2015,Rajasthan,895,140,Overtaking,Oct
2017,Gujarat,1006,121,Weather,Jun
2016,Odisha,4049,1209,Weather,Aug
2017,Maharashtra,3447,986,Vehicle Defect,Feb
2018,Kerala,1581,429,Speeding,Mar
2015,Odisha,242,25,Vehicle Defect,Apr
2016,Uttar Pradesh,217,63,Speeding,Mar
2022,Madhya Pradesh,1486,191,Vehicle Defect,Jul
2016,West Bengal,2192,491,Overtaking,Mar
2015,Delhi,321,36,Vehicle Defect,Apr
2019,Kerala,2164,371,Speeding,Aug
2021,Assam,1045,293,Vehicle Defect,Jan
2019,Tamil Nadu,3349,948,Drunk Driving,Sep
2021,Kerala,2933,628,Vehicle Defect,Aug
2020,Bihar,2997,623,Weather,Jun
2017,Punjab,3231,372,Drunk Driving,Jun
2020,Kerala,1357,276,Weather,Feb
2017,Uttar Pradesh,1978,342,Speeding,May
2020,Delhi,3920,1059,Vehicle Defect,Jun
2021,Odisha,3675,759,Weather,Mar
2016,Madhya Pradesh,1430,410,Overtaking,Jun
2017,Gujarat,419,117,Weather,May
2016,Rajasthan,4843,1040,Overtaking,Oct
2017,Tamil Nadu,1740,196,Drunk Driving,Jan
2017,Karnataka,1744,495,Overtaking,Jun
2020,Bihar,2212,368,Drunk Driving,Mar
2017,Kerala,2643,737,Speeding,Aug
2015,Assam,1983,391,Overtaking,Feb
2022,Rajasthan,1370,369,Overtaking,Dec
2015,Rajasthan,4262,610,Drunk Driving,Apr
2020,Bihar,4967,765,Speeding,Feb
2021,Delhi,604,114,Speeding,Nov
2023,Haryana,3687,889,Speeding,Aug
2023,Maharashtra,3577,560,Overtaking,Oct
2017,Bihar,1337,148,Drunk Driving,Jul
2023,Punjab,4250,513,Vehicle Defect,Dec
2016,Haryana,2039,573,Vehicle Defect,Dec
2023,Punjab,3989,673,Weather,Apr
2017,Gujarat,4749,957,Weather,Jan
2021,Karnataka,4363,947,Overtaking,Sep
2016,Punjab,1424,272,Speeding,Apr
2019,Delhi,1702,267,Overtaking,Oct
2022,Punjab,3132,774,Vehicle Defect,Jan
2017,Delhi,2889,367,Overtaking,Jun
2016,Rajasthan,2425,605,Weather,Jun
2019,Tamil Nadu,4048,794,Overtaking,Jan
2018,Karnataka,551,153,Vehicle Defect,Jun
2021,Tamil Nadu,1642,342,Overtaking,Dec
2015,Karnataka,3112,648,Speeding,Jun
2015,Delhi,1009,297,Drunk Driving,Dec
2015,Madhya Pradesh,2336,528,Weather,Oct
2017,Madhya Pradesh,1488,239,Weather,Jan
2017,Uttar Pradesh,2451,408,Weather,Jan
2021,Uttar Pradesh,2468,472,Overtaking,May
2017,Delhi,3121,438,Speeding,Jun
2017,Karnataka,746,75,Overtaking,Feb
2016,Delhi,4219,1169,Weather,Feb
